id,Apellido,Nombre,Distrito,Género,Sexo,Bloque,Interbloque,Voto
049,Caselles,Graciela Maria,San Juan,M,Mujer,PARTIDO BLOQUISTA DE SAN JUAN,Argentina Federal,Afirmativo
050,Cassinerio,Paulo Leonardo,Cordoba,H,Hombre,CORDOBA FEDERAL,Argentina Federal,Negativo
051,Castagneto,Carlos Daniel,Buenos Aires,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
052,Castro,Sandra Daniela,San Juan,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
053,Cerruti,Gabriela,Ciudad De Buenos Aires,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
054,Ciampini,Jose Alberto,Neuquen,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
055,Cleri,Marcos,Santa Fe,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
056,Contigiani,Luis Gustavo,Santa Fe,H,Hombre,PARTIDO SOCIALISTA,Partido Socialista,Negativo
057,Correa,Walter,Buenos Aires,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
058,Cresto,Mayda,Entre Rios,M,Mujer,JUSTICIALISTA,Argentina Federal,Negativo
059,David,Javier,Salta,H,Hombre,JUSTICIALISTA,Argentina Federal,Negativo
060,De Mendiguren,Jose Ignacio,Buenos Aires,H,Hombre,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Renovador UNA,Negativo
061,De Pedro,Eduardo Enrique,Buenos Aires,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
062,De Ponti,Lucila Maria,Santa Fe,M,Mujer,PERONISMO PARA LA VICTORIA,Peronismo para la Victoria - Libres del Sur,Negativo
063,De Vido,Julio,Buenos Aires,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
064,Del Caño,Nicolas,Buenos Aires,H,Hombre,PTS - FRENTE DE IZQUIERDA,Pts - Frente De Izquierda,Negativo
065,Del Cerro,Gonzalo Pedro Antonio,Santa Fe,H,Hombre,UCR,Cambiemos,Afirmativo
066,Del Pla,Romina,Buenos Aires,M,Mujer,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,Frente De Izquierda Y De Los Trabajadores,Negativo
067,Delu,Melina Aida,La Pampa,M,Mujer,JUSTICIALISTA,Argentina Federal,Negativo
068,Derna,Veronica,Misiones,M,Mujer,FRENTE DE LA CONCORDIA MISIONERO,Argentina Federal,Negativo
069,Di Stefano,Daniel,Misiones,H,Hombre,FRENTE DE LA CONCORDIA MISIONERO,Argentina Federal,Negativo
070,Dindart,Julian,Corrientes,H,Hombre,UCR,Cambiemos,Afirmativo
071,Doñate,Claudio Martin,Rio Negro,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
072,Donda Perez,Victoria Analia,Ciudad De Buenos Aires,M,Mujer,LIBRES DEL SUR,Peronismo para la Victoria - Libres del Sur,Negativo
073,Echegaray,Alejandro Carlos Augusto,Buenos Aires,H,Hombre,UCR,Cambiemos,Negativo
074,Enriquez,Jorge Ricardo,Ciudad De Buenos Aires,H,Hombre,PRO,Cambiemos,Afirmativo
075,Espinoza,Fernando,Buenos Aires,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
076,Estevez,Gabriela Beatriz,Cordoba,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
077,Felix,Omar Chafi,Mendoza,H,Hombre,SOMOS MENDOZA,Somos Mendoza,Afirmativo
078,Fernandez Langan,Ezequiel,Buenos Aires,H,Hombre,PRO,Cambiemos,Afirmativo
079,Fernandez Patri,Gustavo Ramiro,Formosa,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
080,Fernandez,Carlos Alberto,Buenos Aires,H,Hombre,UCR,Cambiemos,Negativo
081,Ferreyra,Araceli,Corrientes,M,Mujer,PERONISMO PARA LA VICTORIA,Peronismo para la Victoria - Libres del Sur,Negativo
082,Filmus,Daniel,Ciudad De Buenos Aires,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
083,Flores,Danilo Adrian,La Rioja,H,Hombre,JUSTICIALISTA,Argentina Federal,Negativo
084,Flores,Hector,Buenos Aires,H,Hombre,COALICION CIVICA,Cambiemos,Afirmativo
085,Frana,Silvina Patricia,Santa Fe,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
086,Franco,Jorge Daniel,Misiones,H,Hombre,FRENTE DE LA CONCORDIA MISIONERO,Argentina Federal,Negativo
087,Fregonese,Alicia,Entre Rios,M,Mujer,PRO,Cambiemos,Negativo
088,Frizza,Gabriel Alberto,Cordoba,H,Hombre,PRO,Cambiemos,Negativo
089,Furlan,Francisco Abel,Buenos Aires,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
